"patent_id"	"latin_name"	"plant_variety"
"PP30172"	"Lavandula angustifolia"	"KLELV16122"
"PP24285"	"Alstroemeria hybrida"	"Teskani"
"PP30957"	"Capsicum annuum"	"YY5"
"PP24656"	"Rosa hybrida"	"J.C.'s Pride"
"PP32902"	"Rudbeckia hirta"	"RUDLO175"
"PP17190"	"Verbascum hybrid"	"Sunshine Spires"
"PP27277"	"Citrus reticulata/Citrus paradisi+Citrus grandis×Citrus reticulata+Poncirus trifoliata"	"UFR-1"
"PP29176"	"Verbena×peruviana"	"VOLVER 7551"
"PP30990"	"Phalaenopsis hybrid"	"PHALGEPWAL"
"PP18253"	"Viola×hybrida."	"Lord Primrose"
"PP23431"	"Kalanchoe blossfeldiana"	"Fikalrodan"
"PP16782"	"Rhododendron hybrida"	"Spring Fling"
"PP16335"	"Heuchera×hybrida"	"Royal Velvet"
"PP23057"	"Angelonia augustifolia"	"Sungelobu"
"PP29655"	"Lantana camara"	"LANZ0012"
"PP33040"	"Paulownia hybrid"	"WEGROW-B7"
"PP34121"	"Vitis labrusca"	"CXG20"
"PP31792"	"Rosa hybrid"	"GRAosr"
"PP25823"	"Petunia hybrid"	"KLEPH12220"
"PP16670"	"Chrysanthemum morifolium"	"Artist Orange"
"PP27168"	"Prunus persica"	"Mazee"
"PP24602"	"Sedum telephium"	"Cherry Truffle"
"PP25703"	"Deutzia gracilis"	"Mincream"
"PP31608"	"Prunus persica"	"Summer Sugarine"
"PP18323"	"Petunia hybrida Vilm"	"Keipunes"
"PP19805"	"Calibrachoa sp."	"Filindura White"
"PP27679"	"Nemesia denticulata×caerulea"	"SUNJON 008"
"PP30405"	"Campanula portenschlagiana"	"HAVPRTB709"
"PP32595"	"Phalaenopsis hybrid"	"PHALHOCH"
"PP36265"	"Chrysanthemum X morifolium"	"Josarayel"
"PP17568"	"Chrysanthemum×morifolium"	"Yomelanie"
"PP28200"	"Corylus avellana cultivar"	"McDonald"
